"method" "nvar" "nerrors" "errorloc" "weight" "degeneracy" "user" "system" "elapsed" "maxDurationExceeded" "memfail"
"mip" 2 1 "begin" 1 NA 0 0.01 0.01 FALSE FALSE
"mip" 2 1 "end" 1 NA 0.02 0 0.02 FALSE FALSE
"mip" 2 1 "middle" 1 NA 0 0 0 FALSE FALSE
"mip" 3 1 "begin" 1 NA 0.01 0 0.02 FALSE FALSE
"mip" 3 1 "end" 1 NA 0.01 0 0.02 FALSE FALSE
"mip" 3 1 "middle" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 4 1 "begin" 1 NA 0.0099999999999999 0 0.0199999999999999 FALSE FALSE
"mip" 4 1 "end" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 4 1 "middle" 1 NA 0 0 0 FALSE FALSE
"mip" 5 1 "begin" 1 NA 0.02 0 0.02 FALSE FALSE
"mip" 5 1 "end" 1 NA 0.0199999999999999 0 0.01 FALSE FALSE
"mip" 5 1 "middle" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 6 1 "begin" 1 NA 0.01 0 0.02 FALSE FALSE
"mip" 6 1 "end" 1 NA 0.02 0 0.02 FALSE FALSE
"mip" 6 1 "middle" 1 NA 0.01 0.01 0.03 FALSE FALSE
"mip" 7 1 "begin" 1 NA 0.00999999999999979 0 0.02 FALSE FALSE
"mip" 7 1 "end" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 7 1 "middle" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 8 1 "begin" 1 NA 0.02 0.02 0.03 FALSE FALSE
"mip" 8 1 "end" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 8 1 "middle" 1 NA 0.01 0 0.01 FALSE FALSE
"mip" 9 1 "begin" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 9 1 "end" 1 NA 0.04 0 0.03 FALSE FALSE
"mip" 9 1 "middle" 1 NA 0.02 0 0.02 FALSE FALSE
"mip" 10 1 "begin" 1 NA 0.02 0 0.02 FALSE FALSE
"mip" 10 1 "end" 1 NA 0.03 0 0.03 FALSE FALSE
"mip" 10 1 "middle" 1 NA 0.0299999999999998 0 0.03 FALSE FALSE
"mip" 11 1 "begin" 1 NA 0.03 0 0.0299999999999998 FALSE FALSE
"mip" 11 1 "end" 1 NA 0.03 0 0.04 FALSE FALSE
"mip" 11 1 "middle" 1 NA 0.03 0 0.03 FALSE FALSE
"mip" 12 1 "begin" 1 NA 0.0299999999999998 0 0.04 FALSE FALSE
