"method" "nvar" "nerrors" "errorloc" "weight" "degeneracy" "user" "system" "elapsed" "maxDurationExceeded" "memfail"
"mip" 1 1 "begin" 1 1 0 0 0 FALSE FALSE
"mip" 1 1 "end" 1 1 0 0 0 FALSE FALSE
"mip" 1 1 "middle" 1 1 0 0 0 FALSE FALSE
"mip" 2 1 "begin" 1 NA 0.0299999999999999 0 0.03 FALSE FALSE
"mip" 2 1 "end" 0 NA 0.02 0 0.02 FALSE FALSE
"mip" 2 1 "middle" 1 NA 0.01 0 0.01 FALSE FALSE
"mip" 2 2 "begin" 1 NA 0.02 0 0.0199999999999999 FALSE FALSE
"mip" 2 2 "end" 1 NA 0.0099999999999999 0 0.01 FALSE FALSE
"mip" 2 2 "middle" 1 NA 0.02 0 0.02 FALSE FALSE
"mip" 3 1 "begin" 1 NA 0.02 0 0.02 FALSE FALSE
"mip" 3 1 "end" 0 NA 0.02 0 0.02 FALSE FALSE
"mip" 3 1 "middle" 1 NA 0.01 0 0.01 FALSE FALSE
"mip" 3 2 "begin" 0 NA 0 0.01 0.00999999999999979 FALSE FALSE
"mip" 3 2 "end" 1 NA 0.01 0 0.02 FALSE FALSE
"mip" 3 2 "middle" 0 NA 0.02 0 0.02 FALSE FALSE
"mip" 3 3 "begin" 0 NA 0 0.02 0.02 FALSE FALSE
"mip" 3 3 "end" 0 NA 0.01 0 0.01 FALSE FALSE
"mip" 3 3 "middle" 0 NA 0 0.02 0.02 FALSE FALSE
"mip" 4 1 "begin" 1 NA 0.00999999999999979 0 0.01 FALSE FALSE
"mip" 4 1 "end" 0 NA 0.02 0 0.02 FALSE FALSE
"mip" 4 1 "middle" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 4 2 "begin" 0 NA 0.01 0 0.02 FALSE FALSE
"mip" 4 2 "end" 0 NA 0.02 0 0.02 FALSE FALSE
"mip" 4 2 "middle" 1 NA 0.01 0 0.01 FALSE FALSE
"mip" 4 3 "begin" 0 NA 0.02 0.00999999999999998 0.03 FALSE FALSE
"mip" 4 3 "end" 1 NA 0.01 0 0.02 FALSE FALSE
"mip" 4 3 "middle" 0 NA 0.02 0 0.01 FALSE FALSE
"mip" 4 4 "begin" 0 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 4 4 "end" 0 NA 0.03 0 0.03 FALSE FALSE
"mip" 4 4 "middle" 0 NA 0.02 0 0.02 FALSE FALSE
"mip" 5 1 "begin" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 5 1 "end" 0 NA 0.02 0.02 0.03 FALSE FALSE
"mip" 5 1 "middle" 1 NA 0.01 0 0.02 FALSE FALSE
"mip" 5 2 "begin" 0 NA 0.03 0 0.0299999999999998 FALSE FALSE
"mip" 5 2 "end" 0 NA 0.02 0 0.02 FALSE FALSE
"mip" 5 2 "middle" 1 NA 0.02 0 0.01 FALSE FALSE
"mip" 5 3 "begin" 1 NA 0.01 0 0.01 FALSE FALSE
"mip" 5 3 "end" 1 NA 0.03 0 0.03 FALSE FALSE
"mip" 5 3 "middle" 1 NA 0 0.00999999999999998 0.02 FALSE FALSE
"mip" 5 4 "begin" 1 NA 0.02 0 0.0100000000000002 FALSE FALSE
"mip" 5 4 "end" 1 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 5 4 "middle" 1 NA 0.01 0 0.02 FALSE FALSE
"mip" 5 5 "begin" 1 NA 0.02 0 0.02 FALSE FALSE
"mip" 5 5 "end" 1 NA 0.0199999999999998 0 0.0100000000000002 FALSE FALSE
"mip" 5 5 "middle" 1 NA 0.0100000000000002 0 0.0199999999999996 FALSE FALSE
"mip" 6 1 "begin" 1 NA 0.0100000000000002 0 0.02 FALSE FALSE
"mip" 6 1 "end" 0 NA 0.0299999999999998 0 0.0300000000000002 FALSE FALSE
